"Code","Stock","Prv Close","High","Low","Last","Vol","Status","P/E","EPS*","MACD (26, 12)","Vol MA (20)","DY*","Y-Low","Y-High","RSI (14)","Open","Sector","Chg","B%"
="012845","FRONTKN-C45","0.005","-","-","","0","Active","","","-0.011","346865","","0.005","0.110","14%","","305","","-"
="012846","FRONTKN-C46","0.060","0.065","0.065","0.065","12254","Active","","","-0.017","614290","","0.060","0.235","25%","0.065","305","+0.005","66"
="012847","FRONTKN-C47","0.020","-","-","","0","Active","","","-0.014","138400","","0.020","0.110","9%","","305","","-"
="012848","FRONTKN-C48","0.040","-","-","","0","Active","","","-0.017","58340","","0.040","0.155","8%","","305","","-"
="012849","FRONTKN-C49","0.040","-","-","","0","Active","","","-0.011","778000","","0.040","0.230","22%","","305","","-"
="012850","FRONTKN-C50","0.035","-","-","","0","Active","","","-0.008","1306535","","0.035","0.110","22%","","305","","-"
="012851","FRONTKN-C51","0.005","-","-","","0","Active","","","","-","","0.005","0.025","0%","","305","","-"
="012852","FRONTKN-C52","0.105","0.110","0.100","0.110","20","Active","","","-0.009","149300","","0.105","0.170","25%","0.100","305","+0.005","50"
="012853","FRONTKN-C53","0.070","0.075","0.065","0.075","7500","Active","","","","-","","0.070","0.080","0%","0.065","305","+0.005","46"
="012854","FRONTKN-C54","0.065","-","-","","0","Active","","","","-","","0.065","0.065","0%","","305","","-"
="0128WB","FRONTKN-WB","0.010","0.015","0.005","0.010","167503","Active","","","-0.034","11326630","","0.005","0.555","22%","0.010","105","-","69"
="9377","FSBM","0.205","0.225","0.205","0.220","68315","Active","","-2.60","0.010","3703505","","0.140","0.275","61%","0.210","105","+0.015","94"
="9377WB","FSBM-WB","0.160","0.165","0.155","0.165","460","Active","","","0.007","173815","","0.100","0.215","74%","0.155","105","+0.005","54"
="7184","G3","0.015","0.015","0.010","0.015","32236","Active","","-0.15","","1463925","","0.005","0.025","40%","0.015","101","-","24"
="9261","GADANG","0.210","0.210","0.200","0.200","10116","Active","22.89","1.34","-0.004","957460","","0.210","0.335","40%","0.210","103","-0.010","7"
="5398","GAMUDA","4.090","4.160","4.070","4.140","141892","Active","23.44","17.61","-0.113","25213335","2.42%","3.480","5.800","49%","4.090","103","+0.050","52"
="53983Q","GAMUDA-C3Q","0.005","-","-","","0","Active","","","-0.015","1215650","","0.005","0.185","100%","","303","","-"
="53983R","GAMUDA-C3R","-","-","-","","0","Delisted","","","-0.018","2288500","","0.005","0.305","27%","","303","","-"
="53983S","GAMUDA-C3S","0.020","-","-","","0","Active","","","-0.023","1223785","","0.020","0.210","11%","","303","","-"
="53983T","GAMUDA-C3T","-","-","-","","0","Delisted","","","-0.014","1438545","","0.005","0.185","14%","","303","","-"
="53983U","GAMUDA-C3U","0.015","0.010","0.010","0.010","103959","Active","","","-0.008","5557360","","0.010","0.225","50%","0.010","303","-0.005","-"
="53983V","GAMUDA-C3V","0.005","0.005","0.005","0.005","6000","Active","","","-0.012","376440","","0.005","0.170","18%","0.005","303","-","8"
="53983W","GAMUDA-C3W","-","-","-","","0","Delisted","","","-0.004","1465705","","0.005","0.145","100%","","303","","-"
="53983X","GAMUDA-C3X","0.005","-","-","","0","Active","","","-0.016","201125","","0.005","0.135","23%","","303","","-"
